WSID,Water System Name,History of E. coli Presence,Increasing Presence of Water Quality Trends Toward MCL,Treatment Technique Violations,Past Presence on the HR2W List,Maximum Duration of High Potential Exposure (HPE),Percentage of Sources Exceeding an MCL,Number of Water Sources ,Presence of Interties,Water Source Types,DWR – Drought & Water Shortage Risk Assessment Results,Critically Overdrafted Groundwater Basin,Percent of Median Household Income (%MHI),Extreme Water Bill,Percent Shutoffs,Number of Service Connections,Operator Certification Violations,Monitoring and Reporting Violations,Significant Deficiencies,Extensive Treatment Installed,Final At-Risk List
CA0400014,LAKE MADRONE WATER DISTRICT,0,0,0,0,0.25,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,0,0,0,0,0,0,0,1,0,0,0,0.75,0,0,1,0,0,0,0,Not At-Risk
CA0400019,OROVILLE MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,0.25,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0400020,PLEASANT GROVE MHP,0,0,0,0,0.5,0,0,1,0,0,0, , ,0,1,0,1,0,0,Not At-Risk
CA0400021,ROBINSON'S CORNER MHP,0,0.25,0,0,0.5,1,1,1,1,0.25,0,0,0,0,1,0,1,0,0,At-Risk
CA0400023,GOLDEN OAKS MOBILE ESTATES,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0400026,MEADOWBROOK OAKS,0,0.25,0,0,0,0,1,1,1,1,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA0400027,FOOTHILL SOLAR COMPANY,0,0,0,0,0,0,1,1,1,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA0400030,GOLDEN FEATHER MHP,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0400036,MOUNTAIN VIEW MOBILE ACRES MHP LLC,0,1,0,0,0,0,1,1,1,0,1,0, ,0,1,0,0,0,0,At-Risk
CA0400040,ALMOND GROVE MOBILE PARK,0,1,0,0,0,0,1,1,1,1,1,0, ,0,1,0,0,0,0,At-Risk
CA0400041,FOREST RANCH MOBILE PARK,0,0,0,0,0,0,1,1,1,0.25,0, , ,0,1,0,0,0,0,Not At-Risk
CA0400042,FOREST VILLAGE LLC,0,0,0,0,0.25,0,1,1,1,0.25,0, ,0,0,1,0,0,0,0,Not At-Risk
CA0400051,DINGERVILLE USA PARK,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0400060,HONCUT ELEMENTARY SCHOOL,0,1,0,0.5, ,1,0,1,0,0.25,0, ,0,0,1,0,0,0,0,HR2W
CA0400062,RICHVALE ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1,0,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA0400063,MANZANITA ELEMENTARY SCHOOL,0,0,0,0.5, ,1,1,1,1,1,0, ,0,0,1,0,0,0,0,HR2W
CA0400064,CONCOW ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1,0.25,0, , ,0,1,0,0,0,1,At-Risk
CA0400065,SPRING VALLEY SCHOOL,0,0,0,0.5, ,1,0,1,0, ,0, ,0,0,1,0,0,0,0,HR2W
CA0400067,FEATHER RIVER SCHOOL,0,1,0,0.5, ,1,1,1,1,0,0, ,0,0,1,0,0,0,0,HR2W
CA0400068,BERRY CREEK SCHOOL,0,0,0,0, ,0,1,1,1,1,0, , ,0,1,0,1,0,0,At-Risk
CA0400073,NORD COUNTRY SCHOOL,0,1,0,0, ,1,0,1,0,0.25,1, ,0,0,1,0,0,0,0,At-Risk
CA0400078,FOREST KNOLLS MUTUAL WATER CO,0,0,0,0,0.5,0,1,1,1,0.25,0, ,0,1,1,0,0,0,0,At-Risk
CA0400079,FOREST RANCH CHARTER SCHOOL,0,0,0,0, ,0,1,1,1,1,0, ,0,0,1,0,0,0,0,At-Risk
CA0400081,FEATHER RIDGE ESTATES WATER CO,0,0.5,0,1,0.25,0,0,1,0,1,0,0.75,0,0,1,0,1,0,0,HR2W
CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,0,0,0,0,0,0,1,1,1,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,0,0.5,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,0,0,0,0,0.25,0,1,1,1,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA0400149,HUMBOLDT WOODLANDS MUTUAL,0,0,0,0,0,0,1,1,1,0.25,0, ,0,0,1,0,0,0,0,Not At-Risk
CA0400151,KEEFER CREEK ESTATES,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Not At-Risk
CA0400155,BIGGERS GLEN MUTUAL WATER CO,0,0.25,0,0,0,0,1,1,1,0.25,0, ,0,0,1,0,0,0,0,Not At-Risk
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,Not At-Risk
CA0409181,BLUE OAK TERRACE MUTUAL,0,0,0,0,0,0,1,1,1,0.25,0,1,0,0,1,0,0,0,0,Potentially At-Risk
CA0409183,SIERRA MOON WATER COMPANY,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Not At-Risk
CA0410001,CITY OF BIGGS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA0410003,DURHAM IRRIGATION DISTRICT,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Not At-Risk
CA0410004,CITY OF GRIDLEY,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA0410007,PARADISE IRRIGATION DISTRICT,0,0,0,0,0,0,0,1,0, ,0,0,0,0,0,0,0,0,1,Not At-Risk
CA0410008,THERMALITO WATER & SEWER DIST,0,0,0,0.5,0,0,0,1,0, ,0,0,0,0,0,0,0,0,1,Not At-Risk
CA0410009,DEL ORO WATER CO.-MAGALIA,0,0,0,0,0,0,0,1,0,0,0,0.75,0,1,1,0,0,0,0,Not At-Risk
CA0410011,DEL ORO WATER CO.-PARADISE PINES,0,0,0,0,0,0,0,1,0, ,0,0,0,1,0,0,0,0,0,Not At-Risk
CA0410012,SFWP-BANGOR,0,0,0,0,0,0,1,1,1, ,0,0,0,0,1,0,0,0,1,Potentially At-Risk
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,Potentially At-Risk
CA0500019,MINERAL MOUNTAIN MUTUAL WATER,0,0.25,0,0,0.25,0,0,1,0,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA0500027,LILI VALLEY WATER CO.,0,0,0,0,0,0,0,1,0,0,0,0.75,0,0,1,0,0,0,0,Not At-Risk
CA0500068,DUNROVIN MOBILE HOME VILLAGE,0,0,0,0,0.25,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0500075,LAKESIDE MOBILE ESTATES,0,0,0,0,0.25,0,1,1,1,1,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA0500085,TOYON MIDDLE SCHOOL,0,0,0,0, ,0,0,1,0,0.25,0, , ,0,1,0,0,0,0,Not At-Risk
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,0,0,0,0,0.25,0,0,1,0,0,0, , ,0,1,0,0,0,1,Not At-Risk
CA0510001,UNION PUBLIC UTILITY DISTRICT,0,0,0,0.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,HR2W
CA0510002,CALAVERAS PUD,0,0,0,0,0,0,1,1,1,0.25,0,0,0,0,0,0,0,0,1,Potentially At-Risk
CA0510003,"ANGELS, CITY OF",0,0.25,0,0,0.25,0,1,1,1,1,0,0,0,0,0,0,0,0,1,At-Risk
CA0510004,CCWD - SHEEP RANCH,0,0,0,0,0,0,1,1,1, ,0, ,0,0,1,0,0,0,1,Potentially At-Risk
CA0510005,CCWD - WEST POINT,0,0,0,0,0,0,0,1,0, ,0,1,0,0,0,0,0,0,1,Not At-Risk
CA0510009,BLUE LAKE SPRINGS MUT WTR,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA0510010,VALLEY SPRINGS PUD,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Not At-Risk
CA0510011,SNOWSHOE SPRINGS ASSN.,0,0,0,0.5,0,0,1,0,0.5,0,0,1,0.5,0,1,0,0,0,0,Potentially At-Risk
CA0510012,CAMANCHE SOUTH SHORE-EBMUD,0,0,0,0,0.25,0,0,1,0,0,1, ,0,0,1,0,0,0,1,Potentially At-Risk
CA0510017,CCWD - COPPER COVE,0,0,0,0,0,0,1,1,1, ,0,0,0,0,0,0,0,0,1,Potentially At-Risk
CA0510019,CCWD - WALLACE,0,0,0,0,0,0,0,1,0, ,1,0,0,0,1,0,0,0,0,Not At-Risk
CA0600005,COLUSA CO. SERVICE AREA #2-STONYFORD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0600008,COLUSA CO. WWD #1 - GRIMES,0,0,0,0.5,1,1,0,1,0,1,1,0.75,0,0,1,0,1,0,0,HR2W
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,0,0,0,0,0.25,0,0,1,0,0,1,0,0,0,1,0,0,0,1,Not At-Risk
CA0600013,COLUSA CO. WWD #2 - PRINCETON,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Not At-Risk
CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Not At-Risk
CA0610001,ARBUCKLE PUBLIC UTILITY DISTRICT,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Not At-Risk
CA0610002,CITY OF COLUSA,0,0.25,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,Not At-Risk
CA0610003,MAXWELL PUBLIC UTILITY DISTRICT,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Not At-Risk
CA0610004,CITY OF WILLIAMS,0,0.25,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Not At-Risk
CA0706004,OAKLEY MUTUAL WATER COMPANY,0,0,0,0,0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA0706005,FARRAR PARK PROPERTY OWNERS,0,0,0,0,0,0,1,1,1,0.25,0,1,0.5,0,1,0,0,0,0,Potentially At-Risk
CA0706028,KNIGHTSEN ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1,0.25,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA0706029,EXCELSIOR MIDDLE SCHOOL,0,0,0,0, ,0,1,1,1,0,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA0707501,ANGLER S RANCH #3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707507,WILLOW PARK MARINA,0,0.5,0,0.5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,HR2W
CA0707517,COLONIA SANTA MARIA,0,0,0,0,0,0,1,1,1,0.25,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707519,DUTCH SLOUGH WATER WORKS,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707523,FLAMINGO MOBILE MANOR,0,0,0,0,0,0,1,1,1,0.25,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0707545,ORWOOD RESORT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707547,KNIGHTSEN COMMUNITY WATER SYSTEM,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707553,RIVERVIEW MOBILE HOMES,0,0,0,0,0.25,0,1,1,1,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0707556,SANDMOUND MUTUAL,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707569,ANGLERS SUBDIVISION 4,0,0.25,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707572,BETHEL ISLAND MUTUAL WATER CO,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707573,DELTA MUTUAL WATER COMPANY,0,0.5,0,0.5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,HR2W
CA0707574,SANTIAGO ISLAND VILLAGE,0,0,0,0,0,0,1,1,1,0.25,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707575,FRANKS MARINA,0,0,0,0,0,0,1,1,1,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0707576,PLEASANTIMES MUTUAL WATER CO,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707577,RIVERVIEW WATER ASSOCIATION,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707585,MORAGA HEIGHTS MUTUAL WATER,0,0,0,0,0.5,0,1,1,1,1,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA0707588,BIG OAK MOBILE HOME PARK WATER,0,1,0,0,0,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707589,BELLA VISTA WATER SYS,0,0.5,0,0.5,1,1,1,1,1,1,0,0, ,0,1,0,0,0,0,HR2W
CA0707594,CASA MEDANOS WATER SYSTEM,0,0,0,0,0,0,1,1,1,0.25,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0707597,SANDY POINT MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,0.25,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0707598,CAMINO MOBILEHOME,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA0707601,RUSSOS MOBILE PARK,0,0,0,0,0,0,1,1,1,0.25,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0707603,CLAYTON PALMS WATER,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0707608,MARINA MOBILE MANOR,0,0,0,0,0,0,1,1,1,0.25,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0707613,WILLOW MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0707615,DOUBLETREE RANCH WATER SYSTEM,0,0.5,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,At-Risk
CA0707620,CANYON SCHOOL,0,0,0,0, ,0,1,1,1,1,0, , ,0,1,0,0,0,0,At-Risk
CA0707623,WILCOX STATION RANCH,0,0,0,0,0,0,1,1,1,1,0,0, ,0,1,0,0,0,0,Potentially At-Risk
CA0800526,REDWOOD PARK C.S.D.,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Not At-Risk
CA0800532,BIG ROCK C.S.D.,0,0,0,0,0,0,1,1,1,0.25,0,0.75,0,0,1,0,0,0,0,Potentially At-Risk
CA0800548,KLAMATH C.S.D.,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Not At-Risk
CA0800552,NORTHCREST TRAILER CITY,0,0,0,0,0,0,0,1,0,0,0,0, ,0,1,0,1,0,0,Not At-Risk
CA0800555,GASQUET C.S.D.,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,Potentially At-Risk
CA0800556,HRC C.S.D.,0,0,0,0,0,0,1,1,1,0.25,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0800557,HUNTER VALLEY CSD,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,Potentially At-Risk
CA0800603,BUTTE COURT MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,0.25,0,0, ,0,1,0,1,0,0,Potentially At-Risk
CA0800605,WEST PARK PROPERTIES,0,1,0,0,0.25,0,1,1,1,0.25,0,0, ,0,1,0,1,0,0,At-Risk
CA0800649,MARGARET KEATING MAIN. & OPER.,0,0,0,0, ,0,1,1,1,0,0, , ,0,1,0,1,0,0,At-Risk
CA0800700,LAS PALMAS MOBILE HOME PARK,0,0,0,0,0,0,0,1,0,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA0800800,PINE GROVE TRAILER PARK,0,0,0,0,0.25,0,1,1,1,0.25,0,0, ,0,1,0,1,0,0,Potentially At-Risk
CA0800825,JED SMITH HOMEOWNERS ASSN.,0,0,1,0.5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,HR2W
CA0800861,RESERVATION RANCH,0,1,0,0,0.25,1,1,1,1,0.25,0,0,0,0,1,0,0,0,0,At-Risk
CA0810002,SMITH RIVER C.S.D.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA0810003,BERTSCH OCEAN VIEW CSD,0,0,0,0,0,0,1,0,0.5,0,0,0,0,1,0,0,0,0,0,Not At-Risk
CA0900102,GOLD BEACH PARK,0,0.5,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,HR2W
CA0900111,PIONEER  ELEMENTARY SCHOOL EDC,0,0,0,0, ,0,0,1,0,0,0, , ,0,1,0,0,0,0,Not At-Risk
CA0900112,CANDLELIGHT VILLAGE MUTUAL WATER CO.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0900210,MILLERS HILL SCHOOL,0,1,0,0.5, ,0,0,1,0,0,0, , ,0,1,0,0,0,1,At-Risk
CA0900300,KYBURZ MUTUAL WATER SYSTEM,0,0,0,0,0.25,0,0,1,0,0,0, ,0,0,1,0,1,0,1,Not At-Risk
CA0900304,SILVERFORK SCHOOL (HEALTH),0,0,0,0, ,0,1,1,1,1,0, , ,0,1,0,0,0,0,At-Risk
CA0900308,QUINTETTE SERVICE CORP WATER,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0900309,MOUNTAIN CREEK SCHOOL,0,1,0,0, ,1,0,1,0,0,0, , ,0,1,0,0,0,0,At-Risk
CA0900404,"OAKLANE MOBILE VILLAGE, LLC.",0,0,0,0,0,0,1,1,1,1,0,0, ,0,1,0,0,0,0,Potentially At-Risk
CA0900410,LATROBE ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1,1,0, , ,0,1,0,0,0,1,At-Risk
CA0900422,CRYSTAL CAVES MHP,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA0900585,GINGER MOUNTAIN LODGE,0,0,0,0, ,0,1,1,1,0,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA0901217,BEAR STATE WATER WORKS,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Not At-Risk
CA0910003,"PLACERVILLE, CITY OF - MAIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,0,0,0,0,0,0,1,1,1,0,0,0.75,0,0,0,0,0,0,1,Potentially At-Risk
CA0910007,LUKINS BROTHERS WATER COMPANY,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,Not At-Risk
CA0910012,TAHOE CITY PUD - RUBICON,0,0,0,0,0,0,0,1,0, ,0, ,0,0,0,0,0,0,0,Not At-Risk
CA0910015,TAHOE KEYS WATER COMPANY,0,0.5,0,0.5,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HR2W
CA0910017,EL DORADO ID - STRAWBERRY,0,0,0,0,0,0,1,1,1, ,0, ,0,0,1,0,0,0,1,Potentially At-Risk
CA0910018,EL DORADO ID - OUTINGDALE,0,0,0,0,0,0,1,1,1, ,0,0,0,0,1,0,0,0,1,Potentially At-Risk
CA0910019,LAKESIDE PARK ASSOCIATION,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,1,0,0,0,1,Not At-Risk
CA1000004,BELMONT WATER CORPORATION,0,0,0,0.5,1,1,0,0,0,0,1,0,0, ,1,0,0,0,0,HR2W
CA1000005,BIG CREEK COMMUNITY SERV DIST,0,0,0,0,0,0,1,0,0.5,0.25,0,0,0,0,1,0,0,0,1,Not At-Risk
CA1000018,EASTON ESTATES WATER COMPANY,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,Potentially At-Risk
CA1000019,FCSA #30/EL PORVENIR,0,1,0,0,1,1,1,1,1,0.25,1,1,0,0,1,0,1,0,1,HR2W
CA1000021,FCSA #05/WILDWOOD ISLAND,0,0,0,0,0.25,0,0,1,0,0,1,0.75,0,0,1,0,1,0,0,Potentially At-Risk
CA1000023,FCSA #14/BELMONT MANOR,0,0,0,0.5,0.5,1,1,1,1,0.25,1,0,0,0,1,0,0,0,0,HR2W
CA1000039,FCSA #10/CUMORAH KNOLLS,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Not At-Risk
CA1000040,FCWWD #37/MILE HIGH,0,0.5,0,0,0.25,1,0,1,0,0,0,0.75,0,0,1,0,0,0,0,Potentially At-Risk
CA1000041,FCWWD #38/SKY HARBOUR,0,0.5,0,0,0.25,1,1,1,1,0,0,0,0,0,1,0,0,0,0,At-Risk
